vd;V(vo1);V(vo1)-V(vo2);V(vo2)
-3.019999999999994e-001;5.407954e+000;3.917338e+000;1.490616e+000
-2.999999999999994e-001;5.396602e+000;3.894676e+000;1.501927e+000
-2.979999999999994e-001;5.385199e+000;3.871910e+000;1.513289e+000
-2.959999999999994e-001;5.373745e+000;3.849045e+000;1.524701e+000
-2.939999999999994e-001;5.362243e+000;3.826081e+000;1.536162e+000
-2.919999999999994e-001;5.350692e+000;3.803022e+000;1.547670e+000
-2.899999999999994e-001;5.339096e+000;3.779871e+000;1.559225e+000
-2.879999999999994e-001;5.327453e+000;3.756628e+000;1.570825e+000
-2.859999999999994e-001;5.315766e+000;3.733297e+000;1.582469e+000
-2.839999999999994e-001;5.304036e+000;3.709879e+000;1.594157e+000
-2.819999999999994e-001;5.292263e+000;3.686377e+000;1.605886e+000
-2.799999999999994e-001;5.280448e+000;3.662792e+000;1.617657e+000
-2.779999999999994e-001;5.268594e+000;3.639127e+000;1.629468e+000
-2.759999999999994e-001;5.256700e+000;3.615382e+000;1.641318e+000
-2.739999999999994e-001;5.244768e+000;3.591561e+000;1.653206e+000
-2.719999999999994e-001;5.232798e+000;3.567665e+000;1.665132e+000
-2.699999999999994e-001;5.220790e+000;3.543696e+000;1.677095e+000
-2.679999999999994e-001;5.208747e+000;3.519655e+000;1.689093e+000
-2.659999999999994e-001;5.196670e+000;3.495544e+000;1.701126e+000
-2.639999999999994e-001;5.184557e+000;3.471364e+000;1.713193e+000
-2.619999999999993e-001;5.172411e+000;3.447117e+000;1.725294e+000
-2.599999999999993e-001;5.160233e+000;3.422805e+000;1.737427e+000
-2.579999999999993e-001;5.148022e+000;3.398430e+000;1.749592e+000
-2.559999999999993e-001;5.135780e+000;3.373991e+000;1.761789e+000
-2.539999999999993e-001;5.123507e+000;3.349492e+000;1.774016e+000
-2.519999999999993e-001;5.111205e+000;3.324932e+000;1.786272e+000
-2.499999999999993e-001;5.098873e+000;3.300314e+000;1.798558e+000
-2.479999999999993e-001;5.086512e+000;3.275640e+000;1.810873e+000
-2.459999999999993e-001;5.074123e+000;3.250908e+000;1.823215e+000
-2.439999999999993e-001;5.061707e+000;3.226122e+000;1.835585e+000
-2.419999999999993e-001;5.049264e+000;3.201283e+000;1.847981e+000
-2.399999999999993e-001;5.036795e+000;3.176391e+000;1.860403e+000
-2.379999999999993e-001;5.024300e+000;3.151448e+000;1.872851e+000
-2.359999999999993e-001;5.011779e+000;3.126455e+000;1.885324e+000
-2.339999999999993e-001;4.999235e+000;3.101413e+000;1.897822e+000
